match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,1,0,0,0,0,0-0,1,True,1,6b28f1f2f2b1n@,,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,2,0,0,0,0,15-0,1,True,1,4b39f1w#,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,3,0,0,0,0,15-15,1,True,1,c4f28f3b1b1f1b1f1b3b3f3b2b2f1b2b3f3b3f2n@,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,4,0,0,0,0,15-30,1,True,1,6*,,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,5,0,0,0,0,30-30,1,True,1,4f29f1f2f3b1b1f1b3b3f2f3f3b2s3b3f1f1d#,,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,6,0,0,0,0,40-30,1,True,1,4b38f2f1b1f2f1f1w@,,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,7,0,0,1,0,0-0,2,True,2,c6*,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,8,0,0,1,0,15-0,2,True,2,6*,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,9,0,0,1,0,30-0,2,True,2,4s29b3d@,,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,10,0,0,1,0,30-15,2,True,2,4n,5f29f2f1f1b1f2f1r2n#,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,11,0,0,1,0,30-30,2,True,2,6+f2j1*,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,12,0,0,1,0,40-30,2,True,2,6b18f1b3b2f3w@,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,13,0,0,1,1,0-0,3,True,1,4d,5b29b2b3b2b2b1f1b3b1s1f3f+3m#,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,14,0,0,1,1,15-0,3,True,1,4b39f2f3r#,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,15,0,0,1,1,15-15,3,True,1,6b28f2f2b2f1b1f1b1f1b3d@,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,16,0,0,1,1,15-30,3,True,1,4d,4b28f1f1b2b1b3b2b2b2b3b2b+1l2j3m1o3*,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,17,0,0,1,1,30-30,3,True,1,6b18f3s2f+1l1o1f3v3b1*,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,18,0,0,1,1,30-40,3,True,1,6*,,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,19,0,0,1,1,40-40,3,True,1,4f17b1n@,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,20,0,0,1,1,40-AD,3,True,1,4b18s1f1b1f1b3b3f1n@,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,21,0,0,1,2,0-0,4,True,2,4b18f3r3f3f1w@,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,22,0,0,1,2,15-0,4,True,2,6b37b3f2b1s1f1b1f1b1f3w@,,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,23,0,0,1,2,15-15,4,True,2,4x,4b17f2n@,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,24,0,0,1,2,15-30,4,True,2,4f1n#,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,25,0,0,1,2,30-30,4,True,2,6r28f3f2b1b1f1s3b2b2b1b1f1b3b3f1d#,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,26,0,0,1,2,40-30,4,True,2,4f19f1s2b+1b3z3*,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,27,0,0,1,3,0-0,5,True,1,6n,6b28f2b1b1f1b2n@,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,28,0,0,1,3,0-15,5,True,1,4b28f1n@,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,29,0,0,1,3,0-30,5,True,1,c6d,6b28f3b3f3b3f2f3f3b3f1f1b1f1b1f3n@,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,30,0,0,1,3,15-30,5,True,1,6d,4b28b3b2n@,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,31,0,0,1,3,30-30,5,True,1,4f29f2b1n@,,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,32,0,0,1,3,40-30,5,True,1,4b38f3b1s2n#,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,33,0,0,1,3,40-40,5,True,1,6b18b1f;2f3b2f1f1b1n@,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,34,0,0,1,3,40-AD,5,True,1,4b29f2b1b2f1b3s2h^3*,,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,35,0,0,1,3,40-40,5,True,1,4f19b3b1b2f3f1f2s3y1s-3b3h3w@,,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,36,0,0,1,3,40-AD,5,True,1,6w,4b29f1f1b1f2b1f1b3b2f1*,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,37,0,0,1,3,40-40,5,True,1,6b29f2b3w@,,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,38,0,0,1,3,AD-40,5,True,1,6*,,,1
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,39,0,0,2,3,0-0,6,True,2,6d,5b27f3f2f+1b3n#,,2
20250116-M-Australian_Open-R64-Learner_Tien-Daniil_Medvedev,40,0,0,2,3,15-0,6,True,2,4f38u3f-1f2n#,,,1
